sample,base_tf_min,q,n,VR,z,verdict
ALL,15,2,24824,0.97466,-2.303,REVERSION
ALL,15,4,24824,0.96863,-1.533,RANDOM_WALK
ALL,15,8,24824,0.98564,-0.464,RANDOM_WALK
ALL,15,16,24824,1.02546,0.595,RANDOM_WALK
ALL,15,32,24824,1.05476,0.977,RANDOM_WALK
ALL,15,64,24824,1.05762,0.808,RANDOM_WALK
VOL_ALTA,15,2,12381,0.97911,-1.323,RANDOM_WALK
VOL_ALTA,15,4,12381,0.97432,-0.883,RANDOM_WALK
VOL_ALTA,15,8,12381,1.01199,0.272,RANDOM_WALK
VOL_ALTA,15,16,12381,1.05306,0.872,RANDOM_WALK
VOL_ALTA,15,32,12381,1.04230,0.537,RANDOM_WALK
VOL_ALTA,15,64,12381,1.03178,0.319,RANDOM_WALK
VOL_BAJA,15,2,12383,0.97461,-2.058,REVERSION
VOL_BAJA,15,4,12383,0.96674,-1.443,RANDOM_WALK
VOL_BAJA,15,8,12383,0.95050,-1.444,RANDOM_WALK
VOL_BAJA,15,16,12383,0.93531,-1.375,RANDOM_WALK
VOL_BAJA,15,32,12383,0.92856,-1.119,RANDOM_WALK
VOL_BAJA,15,64,12383,0.91134,-0.996,RANDOM_WALK
