id,dir,entry,stop,risk,spread_pips,pl,R
1178,BUY,1.34233,1.34033,32.00,0.000,-32.00,-1.000
1179,SELL,1.34227,1.34426,31.84,0.000,-31.84,-1.000
1180,BUY,1.34265,1.34065,32.00,0.100,-32.03,-1.001
1181,SELL,1.34027,1.34227,32.00,0.000,64.00,2.000
1182,SELL,1.33608,1.33807,31.84,0.000,64.16,2.015
1183,SELL,1.33030,1.33230,32.00,0.000,64.00,2.000
1184,BUY,1.32639,1.32439,32.00,0.000,64.06,2.002
1185,BUY,1.33130,1.32930,34.00,0.000,-34.00,-1.000
1186,BUY,1.32757,1.32557,34.00,0.100,-34.00,-1.000
1187,SELL,1.32439,1.32638,31.84,0.000,64.48,2.025
1188,SELL,1.31955,1.32155,34.00,0.000,-34.71,-1.021
1189,BUY,1.32052,1.31852,34.00,0.200,-34.00,-1.000
1190,BUY,1.31707,1.31508,31.84,0.100,64.16,2.015
1191,BUY,1.32312,1.32112,34.00,0.000,-85.37,-2.511
1192,SELL,1.32132,1.32332,32.00,0.100,-32.00,-1.000
1193,SELL,1.32249,1.32449,32.00,0.000,64.00,2.000
1194,SELL,1.31967,1.32166,33.83,0.000,-33.83,-1.000
1195,BUY,1.32294,1.32094,32.00,0.100,64.16,2.005
1196,BUY,1.32698,1.32498,34.00,0.000,-34.00,-1.000
1197,SELL,1.32553,1.32753,32.00,0.100,63.65,1.989
1198,SELL,1.32224,1.32423,33.83,0.000,68.17,2.015
1199,BUY,1.31956,1.31757,33.83,0.000,-33.86,-1.001
1200,BUY,1.31804,1.31604,34.00,0.000,-34.00,-1.000
1201,BUY,1.31545,1.31345,34.00,0.100,67.90,1.997
1202,BUY,1.31926,1.31728,33.66,0.000,-33.66,-1.000
1203,SELL,1.31570,1.31770,34.00,0.100,-34.17,-1.005
1204,BUY,1.31822,1.31623,33.83,0.000,68.14,2.014
1205,SELL,1.32118,1.32318,34.00,0.100,-34.00,-1.000
1206,BUY,1.31978,1.31778,34.00,0.000,67.97,1.999
1207,BUY,1.32339,1.32139,34.00,0.000,-34.03,-1.001
1208,BUY,1.32316,1.32116,34.00,0.200,68.00,2.000
1209,SELL,1.32632,1.32831,33.83,0.000,67.80,2.004
1210,BUY,1.32401,1.32201,36.00,0.000,72.54,2.015
1211,BUY,1.32743,1.32544,35.82,0.000,72.07,2.012
1212,BUY,1.33055,1.32855,38.00,0.000,76.00,2.000
1213,SELL,1.33524,1.33723,37.81,0.000,76.19,2.015
1214,SELL,1.33121,1.33321,38.00,0.100,-39.71,-1.045
1215,SELL,1.33699,1.33899,38.00,0.000,75.16,1.978
1216,BUY,1.33401,1.33201,38.00,0.000,76.00,2.000
1217,BUY,1.33915,1.33715,40.00,0.100,-40.04,-1.001
1218,BUY,1.33823,1.33623,40.00,0.000,-40.00,-1.000
1219,SELL,1.33673,1.33872,37.81,0.000,75.96,2.009
1220,BUY,1.33241,1.33041,40.00,0.000,80.00,2.000
1221,SELL,1.33695,1.33895,40.00,0.100,-40.00,-1.000
1222,BUY,1.33972,1.33772,40.00,0.000,80.04,2.001
1223,BUY,1.34489,1.34289,40.00,0.000,-40.00,-1.000
1224,SELL,1.34301,1.34499,39.60,0.000,79.96,2.019
1225,SELL,1.33770,1.33970,42.00,0.000,-42.21,-1.005
1226,SELL,1.34008,1.34208,40.00,0.000,80.00,2.000
1227,SELL,1.33623,1.33823,42.00,0.000,-42.46,-1.011
1228,BUY,1.33782,1.33583,41.79,0.000,87.15,2.085
1229,SELL,1.34361,1.34561,42.00,0.000,84.00,2.000
1230,SELL,1.33962,1.34162,42.00,0.000,-42.46,-1.011
1231,BUY,1.34141,1.33941,42.00,0.000,-42.00,-1.000
1232,BUY,1.33929,1.33729,42.00,0.000,84.00,2.000
1233,BUY,1.34435,1.34235,42.00,0.000,84.84,2.020
1234,SELL,1.34884,1.35084,44.00,0.000,-44.00,-1.000
1235,BUY,1.35092,1.34892,44.00,0.000,88.00,2.000
1236,BUY,1.35351,1.35151,44.00,0.100,-44.13,-1.003
1237,BUY,1.35000,1.34801,43.78,0.000,-43.78,-1.000
1238,SELL,1.34871,1.35071,44.00,0.000,87.52,1.989
1239,SELL,1.34419,1.34619,44.00,0.000,-52.18,-1.186
1240,BUY,1.34517,1.34317,44.00,0.000,-44.00,-1.000
1241,SELL,1.34141,1.34341,44.00,0.100,-44.22,-1.005
1242,BUY,1.34336,1.34136,42.00,0.100,-42.04,-1.001
1243,SELL,1.34059,1.34258,41.79,0.000,84.21,2.015
1244,SELL,1.33623,1.33822,43.78,0.000,-43.78,-1.000
1245,SELL,1.33927,1.34127,42.00,0.000,82.15,1.956
1246,BUY,1.33430,1.33230,44.00,0.100,-44.00,-1.000
1247,SELL,1.33129,1.33329,44.00,0.200,-44.48,-1.011
1248,BUY,1.33344,1.33144,42.00,0.000,-42.00,-1.000
1249,SELL,1.33182,1.33381,41.79,0.000,-41.79,-1.000
1250,BUY,1.33400,1.33200,42.00,0.100,-42.00,-1.000
1251,BUY,1.33193,1.32993,42.00,0.100,83.96,1.999
1252,SELL,1.33614,1.33814,42.00,0.000,84.00,2.000
1253,SELL,1.33111,1.33311,44.00,0.000,-45.18,-1.027
1254,BUY,1.33371,1.33172,41.79,0.000,-41.79,-1.000
1255,SELL,1.33181,1.33380,41.79,0.000,-41.79,-1.000
1256,SELL,1.33543,1.33742,41.79,0.000,-42.00,-1.005
1257,BUY,1.33610,1.33410,42.00,1.100,-42.21,-1.005
1258,SELL,1.33377,1.33577,42.00,0.000,-42.00,-1.000
1259,BUY,1.33693,1.33494,39.80,0.000,80.20,2.015
1260,SELL,1.34092,1.34291,41.79,0.100,-41.79,-1.000
1261,BUY,1.34425,1.34225,42.00,0.000,-42.00,-1.000
1262,BUY,1.34598,1.34398,40.00,0.100,-40.04,-1.001
1263,SELL,1.34652,1.34850,39.60,0.000,80.40,2.030
1264,SELL,1.34193,1.34392,39.80,0.000,-39.80,-1.000
1265,BUY,1.34620,1.34421,39.80,0.000,80.36,2.019
1266,BUY,1.34921,1.34721,42.00,0.000,-42.00,-1.000
1267,BUY,1.34741,1.34541,40.00,0.100,-40.00,-1.000
1268,SELL,1.34566,1.34766,40.00,0.000,-41.08,-1.027
1269,SELL,1.34768,1.34967,39.80,0.100,78.44,1.971
1270,BUY,1.34371,1.34171,40.00,0.100,80.60,2.015
