id,dir,entry,stop,risk,spread_pips,pl,R
148,SELL,1.25268,1.25468,98.00,0.100,-99.96,-1.020
149,BUY,1.24392,1.24192,96.00,0.100,192.38,2.004
150,SELL,1.24884,1.25082,97.02,0.100,196.98,2.030
151,BUY,1.24376,1.24178,99.00,0.100,-100.00,-1.010
152,BUY,1.24287,1.24088,99.50,0.300,200.90,2.019
153,BUY,1.24504,1.24305,101.49,0.100,-102.10,-1.006
154,SELL,1.23932,1.24132,100.00,0.600,-100.00,-1.000
155,SELL,1.24233,1.24432,99.50,0.100,-100.00,-1.005
156,BUY,1.24404,1.24205,97.51,0.100,-98.98,-1.015
157,SELL,1.23280,1.23480,98.00,0.100,-98.00,-1.000
158,SELL,1.24417,1.24616,95.52,0.100,-96.58,-1.011
159,SELL,1.24558,1.24756,95.04,0.100,-100.13,-1.054
160,BUY,1.25188,1.24990,93.06,0.500,-94.09,-1.011
161,BUY,1.25584,1.25384,94.00,0.500,-94.09,-1.001
162,BUY,1.25319,1.25121,91.08,0.100,-91.08,-1.000
163,BUY,1.24964,1.24766,91.08,0.100,-91.08,-1.000
164,SELL,1.24841,1.25040,89.55,0.100,-91.80,-1.025
165,SELL,1.25098,1.25296,89.10,0.600,-89.10,-1.000
166,BUY,1.25346,1.25146,88.00,0.100,-88.88,-1.010
167,SELL,1.25403,1.25602,87.56,0.600,-87.56,-1.000
168,SELL,1.25597,1.25796,85.57,0.100,-90.73,-1.060
169,BUY,1.25903,1.25703,86.00,0.100,-86.00,-1.000
170,BUY,1.25556,1.25360,84.28,0.200,-84.28,-1.000
171,BUY,1.25914,1.25715,83.58,0.200,-84.00,-1.005
172,BUY,1.25492,1.25292,84.00,0.400,-84.00,-1.000
173,BUY,1.24757,1.24557,82.00,0.100,-82.25,-1.003
174,BUY,1.24776,1.24578,81.18,0.100,164.82,2.030
175,SELL,1.25138,1.25338,84.00,0.100,-84.92,-1.011
176,SELL,1.25281,1.25481,82.00,0.300,-82.90,-1.011
177,BUY,1.25571,1.25372,81.59,0.100,164.74,2.019
178,SELL,1.26165,1.26364,83.58,0.100,-108.36,-1.296
179,SELL,1.26763,1.26962,81.59,0.500,-84.30,-1.033
180,SELL,1.26541,1.26741,82.00,0.300,-82.41,-1.005
181,SELL,1.26565,1.26765,80.00,0.400,-80.80,-1.010
182,SELL,1.26977,1.27177,80.00,0.100,-80.88,-1.011
183,BUY,1.27096,1.26898,77.22,0.400,-78.47,-1.016
184,SELL,1.27162,1.27362,78.00,0.400,-78.00,-1.000
185,BUY,1.27575,1.27375,78.00,0.400,-78.00,-1.000
186,BUY,1.27247,1.27047,76.00,0.400,-77.75,-1.023
187,BUY,1.26981,1.26781,76.00,0.400,152.00,2.000
188,SELL,1.27655,1.27855,78.00,0.400,-78.39,-1.005
189,SELL,1.27399,1.27598,75.62,0.300,152.38,2.015
190,SELL,1.27016,1.27216,78.00,0.400,-81.35,-1.043
191,SELL,1.27223,1.27422,77.61,0.100,-77.61,-1.000
192,BUY,1.27436,1.27236,76.00,0.800,-76.46,-1.006
193,BUY,1.27310,1.27110,76.00,0.200,152.00,2.000
194,SELL,1.28166,1.28366,78.00,0.400,156.00,2.000
