id,dir,entry,stop,risk,pl,R
799,BUY,1.23995,1.23800,95.55,-98.49,-1.031
800,BUY,1.23697,1.23500,96.53,202.27,2.095
801,BUY,1.24091,1.23900,93.59,-93.59,-1.000
802,SELL,1.24100,1.24300,98.00,-98.49,-1.005
803,SELL,1.24300,1.24500,98.00,-99.57,-1.016
804,SELL,1.24701,1.24900,97.51,-98.00,-1.005
805,BUY,1.24800,1.24600,98.00,-98.00,-1.000
806,SELL,1.24806,1.25000,95.06,-95.55,-1.005
807,SELL,1.25106,1.25300,95.06,-98.49,-1.036
808,BUY,1.25397,1.25200,96.53,-104.86,-1.086
809,BUY,1.25089,1.24900,92.61,-97.02,-1.048
810,SELL,1.24802,1.25000,97.02,-97.02,-1.000
811,BUY,1.24894,1.24700,95.06,199.92,2.103
812,BUY,1.25297,1.25100,96.53,-96.53,-1.000
813,SELL,1.25101,1.25300,97.51,-98.00,-1.005
814,BUY,1.25100,1.24900,98.00,196.98,2.010
815,BUY,1.25499,1.25300,97.51,-98.49,-1.010
816,SELL,1.25300,1.25500,98.00,196.00,2.000
817,SELL,1.24900,1.25100,98.00,201.78,2.059
818,BUY,1.24496,1.24300,96.04,-96.53,-1.005
819,BUY,1.24195,1.24000,95.55,-100.45,-1.051
820,BUY,1.23899,1.23700,97.51,-97.51,-1.000
821,BUY,1.23480,1.23300,88.20,-90.16,-1.022
822,BUY,1.23700,1.23500,98.00,-103.39,-1.055
823,BUY,1.23400,1.23200,98.00,-98.29,-1.003
824,BUY,1.23099,1.22900,97.51,-97.51,-1.000
825,BUY,1.22900,1.22700,98.00,-98.00,-1.000
826,BUY,1.22590,1.22400,93.10,-95.55,-1.026
827,SELL,1.22707,1.22900,94.57,-98.49,-1.041
828,BUY,1.22799,1.22600,97.51,-98.49,-1.010
829,BUY,1.22598,1.22400,97.02,197.47,2.035
830,BUY,1.22900,1.22700,98.00,-99.57,-1.016
831,SELL,1.22800,1.23000,98.00,-98.00,-1.000
832,BUY,1.23000,1.22800,98.00,-183.75,-1.875
833,BUY,1.22473,1.22300,84.77,-90.16,-1.064
834,BUY,1.22185,1.22000,90.65,-92.12,-1.016
835,SELL,1.22102,1.22300,97.02,-98.49,-1.015
836,BUY,1.22298,1.22100,77.22,-77.22,-1.000
837,BUY,1.22096,1.21900,64.68,-65.08,-1.006
838,BUY,1.21799,1.21600,55.72,-55.72,-1.000
839,BUY,1.21491,1.21300,45.84,-45.84,-1.000
840,SELL,1.21300,1.21500,40.00,-40.20,-1.005
841,BUY,1.21500,1.21300,34.00,-34.68,-1.020
842,SELL,1.21303,1.21500,27.58,-27.72,-1.005
843,BUY,1.21600,1.21400,24.00,-24.84,-1.035
844,SELL,1.21402,1.21600,19.80,-19.80,-1.000
845,BUY,1.21499,1.21300,17.91,36.09,2.015
846,BUY,1.22198,1.22000,23.76,-24.24,-1.020
847,SELL,1.22001,1.22200,19.90,-20.20,-1.015
848,BUY,1.22199,1.22000,15.92,-15.92,-1.000
849,SELL,1.22002,1.22200,13.86,28.28,2.040
850,SELL,1.21704,1.21900,17.64,-17.73,-1.005
851,SELL,1.21900,1.22100,16.00,-16.48,-1.030
852,BUY,1.21999,1.21800,11.94,-12.18,-1.020
853,BUY,1.21800,1.21600,10.00,-10.56,-1.056
854,SELL,1.21921,1.22100,8.95,-9.20,-1.028
855,BUY,1.22084,1.21900,7.36,-7.80,-1.060
856,BUY,1.21900,1.21700,6.00,12.03,2.005
857,SELL,1.22400,1.22600,8.00,-19.92,-2.490
858,BUY,1.22791,1.22600,5.73,-5.88,-1.026
859,BUY,1.22600,1.22400,4.00,-4.02,-1.005
860,BUY,1.22397,1.22200,3.94,-3.96,-1.005
861,BUY,1.22096,1.21900,3.92,-4.62,-1.179
862,BUY,1.22199,1.22000,1.99,-2.06,-1.035
863,BUY,1.22100,1.21900,2.00,-2.00,-1.000
864,SELL,1.22002,1.22200,1.98,-2.00,-1.010
865,BUY,1.22099,1.21900,1.99,4.03,2.025
866,SELL,1.22601,1.22800,1.99,4.05,2.035
867,BUY,1.22097,1.21900,1.97,-2.08,-1.056
868,BUY,1.21897,1.21700,1.97,-1.99,-1.010
869,SELL,1.21801,1.22000,1.99,-2.00,-1.005
870,SELL,1.22001,1.22200,1.99,-2.08,-1.045
871,BUY,1.22198,1.22000,1.98,-1.98,-1.000
872,BUY,1.21898,1.21700,1.98,-2.03,-1.025
