id,dir,entry,stop,risk,pl,R
996,BUY,1.08067,1.07967,100.00,-103.00,-1.030
997,BUY,1.07951,1.07851,100.00,103.00,1.030
998,BUY,1.07991,1.07891,100.00,-100.00,-1.000
999,BUY,1.07893,1.07793,100.00,-100.00,-1.000
1000,BUY,1.07771,1.07671,100.00,-100.00,-1.000
1001,SELL,1.07715,1.07815,100.00,101.00,1.010
1002,BUY,1.07592,1.07492,100.00,-101.00,-1.010
1003,BUY,1.07472,1.07372,100.00,-100.00,-1.000
1004,SELL,1.07404,1.07504,100.00,99.00,0.990
1005,BUY,1.07192,1.07092,100.00,-100.00,-1.000
1006,BUY,1.07092,1.06992,100.00,102.00,1.020
1007,BUY,1.07132,1.07032,100.00,-100.00,-1.000
1008,BUY,1.06948,1.06848,100.00,-100.00,-1.000
1009,BUY,1.06848,1.06748,100.00,-100.00,-1.000
1010,SELL,1.06822,1.06922,100.00,-104.00,-1.040
1011,SELL,1.07033,1.07133,100.00,100.00,1.000
1012,BUY,1.06929,1.06829,100.00,-104.00,-1.040
1013,SELL,1.06920,1.07020,100.00,100.00,1.000
1014,BUY,1.06800,1.06700,100.00,-101.00,-1.010
1015,BUY,1.06690,1.06590,100.00,100.00,1.000
1016,SELL,1.06743,1.06843,100.00,-100.00,-1.000
1017,SELL,1.06842,1.06942,100.00,-100.00,-1.000
1018,BUY,1.06948,1.06848,100.00,101.00,1.010
1019,SELL,1.07087,1.07187,100.00,100.00,1.000
1020,BUY,1.06959,1.06859,100.00,100.00,1.000
1021,SELL,1.07099,1.07199,100.00,-103.00,-1.030
1022,BUY,1.07151,1.07051,100.00,106.00,1.060
1023,SELL,1.07310,1.07410,100.00,99.00,0.990
1024,SELL,1.07316,1.07416,100.00,100.00,1.000
1025,BUY,1.07196,1.07096,100.00,106.00,1.060
1026,SELL,1.07302,1.07402,100.00,-101.00,-1.010
1027,SELL,1.07401,1.07501,100.00,-101.00,-1.010
1028,SELL,1.07525,1.07625,100.00,102.00,1.020
1029,BUY,1.07367,1.07267,100.00,-100.70,-1.007
1030,BUY,1.07337,1.07237,100.00,102.00,1.020
1031,SELL,1.07454,1.07554,100.00,97.00,0.970
1032,BUY,1.07150,1.07050,100.00,101.00,1.010
1033,BUY,1.07183,1.07083,100.00,102.00,1.020
1034,SELL,1.07295,1.07395,100.00,100.00,1.000
1035,BUY,1.07193,1.07093,100.00,104.00,1.040
1036,BUY,1.07250,1.07150,100.00,-103.00,-1.030
1037,BUY,1.07120,1.07020,100.00,-102.00,-1.020
1038,BUY,1.07124,1.07024,100.00,-101.00,-1.010
1039,BUY,1.07024,1.06924,100.00,-100.00,-1.000
1040,BUY,1.06957,1.06857,100.00,-133.00,-1.330
1041,BUY,1.06870,1.06770,100.00,-104.00,-1.040
1042,SELL,1.06804,1.06904,100.00,-106.00,-1.060
1043,BUY,1.06897,1.06797,100.00,-100.00,-1.000
1044,SELL,1.06932,1.07032,100.00,102.00,1.020
1045,BUY,1.06830,1.06730,100.00,100.00,1.000
1046,SELL,1.06922,1.07022,100.00,100.00,1.000
1047,BUY,1.06822,1.06722,100.00,100.00,1.000
1048,BUY,1.06870,1.06770,100.00,103.00,1.030
1049,SELL,1.07090,1.07190,100.00,-100.00,-1.000
1050,SELL,1.07240,1.07340,100.00,-101.00,-1.010
1051,SELL,1.07354,1.07454,100.00,-101.00,-1.010
1052,BUY,1.07415,1.07315,100.00,-100.00,-1.000
1053,BUY,1.07228,1.07128,100.00,100.00,1.000
1054,SELL,1.07099,1.07199,100.00,100.00,1.000
1055,BUY,1.06976,1.06876,100.00,101.00,1.010
1056,SELL,1.06929,1.07029,100.00,100.00,1.000
1057,BUY,1.06792,1.06692,100.00,-104.00,-1.040
1058,SELL,1.06802,1.06902,100.00,-100.00,-1.000
1059,SELL,1.06957,1.07057,100.00,100.00,1.000
1060,BUY,1.06857,1.06757,100.00,-102.00,-1.020
1061,BUY,1.06751,1.06651,100.00,100.00,1.000
1062,BUY,1.06823,1.06723,100.00,98.90,0.989
1063,SELL,1.07007,1.07107,100.00,-106.00,-1.060
1064,SELL,1.07109,1.07209,100.00,-100.00,-1.000
1065,SELL,1.07206,1.07306,100.00,100.00,1.000
1066,BUY,1.07080,1.06980,100.00,-100.70,-1.007
1067,SELL,1.06983,1.07083,100.00,-101.00,-1.010
1068,BUY,1.06981,1.06881,100.00,118.00,1.180
1069,SELL,1.07099,1.07199,100.00,101.00,1.010
1070,BUY,1.06998,1.06898,100.00,101.00,1.010
1071,SELL,1.07099,1.07199,100.00,-100.00,-1.000
1072,SELL,1.07220,1.07320,100.00,100.00,1.000
1073,BUY,1.07120,1.07020,100.00,101.00,1.010
1074,BUY,1.07185,1.07085,100.00,-100.00,-1.000
1075,SELL,1.07450,1.07550,100.00,106.00,1.060
1076,BUY,1.07350,1.07250,100.00,102.00,1.020
1077,SELL,1.07461,1.07561,100.00,-102.00,-1.020
1078,BUY,1.07544,1.07444,100.00,100.00,1.000
1079,SELL,1.07644,1.07744,100.00,-102.00,-1.020
1080,BUY,1.07685,1.07585,100.00,-100.00,-1.000
1081,BUY,1.07612,1.07512,100.00,-100.00,-1.000
1082,SELL,1.07495,1.07595,100.00,-100.00,-1.000
1083,BUY,1.07540,1.07440,100.00,109.00,1.090
1084,SELL,1.07649,1.07749,100.00,100.00,1.000
1085,BUY,1.07491,1.07391,100.00,-100.00,-1.000
1086,BUY,1.07390,1.07290,100.00,-100.00,-1.000
1087,BUY,1.07252,1.07152,100.00,102.00,1.020
1088,BUY,1.07401,1.07301,100.00,-100.00,-1.000
1089,BUY,1.07133,1.07033,100.00,100.00,1.000
