id,dir,entry,stop,risk,pl,R
1322,SELL,1.11502,1.11599,97.00,-101.00,-1.041
1323,SELL,1.11625,1.11700,75.00,126.00,1.680
1324,BUY,1.11370,1.11282,88.00,-88.00,-1.000
1325,SELL,1.11335,1.11435,100.00,-100.00,-1.000
1326,SELL,1.11430,1.11530,100.00,100.00,1.000
1327,SELL,1.11355,1.11455,100.00,122.00,1.220
1328,BUY,1.11230,1.11133,97.00,-99.00,-1.021
1329,BUY,1.11140,1.11040,100.00,-104.00,-1.040
1330,BUY,1.11011,1.10911,100.00,102.00,1.020
1331,SELL,1.11119,1.11218,99.00,101.00,1.020
1332,BUY,1.11121,1.11037,84.00,-85.00,-1.012
1333,SELL,1.11209,1.11309,100.00,101.00,1.010
1334,SELL,1.11133,1.11232,99.00,-105.00,-1.061
1335,SELL,1.11388,1.11487,99.00,-99.00,-1.000
1336,SELL,1.11592,1.11691,99.00,-99.00,-1.000
1337,BUY,1.11604,1.11505,99.00,-99.00,-1.000
1338,BUY,1.11510,1.11410,100.00,100.00,1.000
1339,SELL,1.11657,1.11754,97.00,-98.00,-1.010
1340,SELL,1.11757,1.11856,99.00,-108.00,-1.091
1341,SELL,1.11876,1.11976,100.00,100.00,1.000
1342,BUY,1.11697,1.11599,98.00,103.00,1.051
1343,SELL,1.11914,1.12014,100.00,-101.00,-1.010
1344,BUY,1.11950,1.11850,100.00,-104.00,-1.040
1345,BUY,1.11745,1.11646,99.00,-99.00,-1.000
1346,BUY,1.11597,1.11504,93.00,-97.00,-1.043
1347,SELL,1.11597,1.11694,97.00,-100.00,-1.031
1348,BUY,1.11716,1.11616,100.00,-100.00,-1.000
1349,SELL,1.11667,1.11767,100.00,-100.00,-1.000
1350,SELL,1.11785,1.11883,98.00,106.00,1.082
1351,SELL,1.11576,1.11673,97.00,-106.00,-1.093
1352,BUY,1.11649,1.11551,98.00,102.00,1.041
1353,SELL,1.11751,1.11851,100.00,-100.00,-1.000
1354,BUY,1.11857,1.11757,100.00,-100.00,-1.000
1355,BUY,1.11544,1.11451,93.00,-93.00,-1.000
1356,SELL,1.11476,1.11576,100.00,104.00,1.040
1357,BUY,1.11372,1.11272,100.00,100.00,1.000
1358,BUY,1.11510,1.11415,95.00,-96.00,-1.011
1359,SELL,1.11421,1.11518,97.00,105.00,1.082
1360,BUY,1.11190,1.11091,99.00,-99.00,-1.000
1361,BUY,1.11054,1.10954,100.00,100.00,1.000
1362,SELL,1.11186,1.11286,100.00,-100.00,-1.000
1363,SELL,1.11279,1.11378,99.00,-107.00,-1.081
1364,BUY,1.11291,1.11191,100.00,-101.00,-1.010
1365,BUY,1.11229,1.11130,99.00,-104.00,-1.051
1366,BUY,1.11126,1.11034,92.00,-96.00,-1.043
1367,BUY,1.10894,1.10795,99.00,-108.00,-1.091
1368,BUY,1.10790,1.10691,99.00,102.00,1.030
1369,SELL,1.10979,1.11078,99.00,101.00,1.020
1370,BUY,1.10914,1.10814,100.00,-105.00,-1.050
1371,BUY,1.10812,1.10724,88.00,-88.00,-1.000
1372,BUY,1.10712,1.10612,100.00,-102.00,-1.020
1373,SELL,1.10660,1.10760,100.00,101.00,1.010
1374,SELL,1.10610,1.10709,99.00,-99.00,-1.000
1375,BUY,1.10801,1.10701,100.00,-100.70,-1.007
1376,SELL,1.10846,1.10940,94.00,-94.00,-1.000
1377,BUY,1.10863,1.10763,100.00,-100.00,-1.000
1378,BUY,1.10767,1.10668,99.00,101.00,1.020
1379,SELL,1.10876,1.10975,99.00,102.00,1.030
1380,BUY,1.10772,1.10673,99.00,-103.00,-1.040
1381,BUY,1.10673,1.10574,99.00,-106.00,-1.071
1382,BUY,1.10547,1.10448,99.00,101.00,1.020
1383,SELL,1.10650,1.10748,98.00,-98.00,-1.000
1384,SELL,1.10783,1.10876,93.00,107.00,1.151
1385,BUY,1.10647,1.10547,100.00,107.00,1.070
1386,SELL,1.10766,1.10866,100.00,104.00,1.040
1387,BUY,1.10662,1.10562,100.00,102.00,1.020
1388,SELL,1.10779,1.10879,100.00,100.00,1.000
1389,BUY,1.10678,1.10579,99.00,-99.00,-1.000
1390,BUY,1.10581,1.10481,100.00,-100.00,-1.000
1391,SELL,1.10717,1.10817,100.00,100.00,1.000
1392,BUY,1.10548,1.10448,100.00,100.00,1.000
1393,BUY,1.10565,1.10466,99.00,-99.00,-1.000
1394,BUY,1.10409,1.10311,98.00,102.00,1.041
1395,SELL,1.10529,1.10629,100.00,-106.00,-1.060
1396,SELL,1.10621,1.10720,99.00,105.00,1.061
1397,BUY,1.10515,1.10416,99.00,-100.00,-1.010
1398,BUY,1.10419,1.10322,97.00,103.00,1.062
1399,BUY,1.10444,1.10345,99.00,-104.00,-1.051
1400,BUY,1.10447,1.10405,42.00,-78.00,-1.857
1401,SELL,1.10395,1.10490,95.00,-96.00,-1.011
1402,BUY,1.10481,1.10382,99.00,102.00,1.030
1403,SELL,1.10487,1.10586,99.00,-100.00,-1.010
1404,SELL,1.10576,1.10676,100.00,-101.00,-1.010
1405,SELL,1.10837,1.10934,97.00,103.00,1.062
1406,BUY,1.10703,1.10613,90.00,112.00,1.244
1407,SELL,1.10818,1.10915,97.00,-98.00,-1.010
1408,SELL,1.10917,1.11017,100.00,102.00,1.020
1409,BUY,1.10809,1.10715,94.00,-94.00,-1.000
1410,SELL,1.10878,1.10977,99.00,-99.00,-1.000
1411,SELL,1.11002,1.11099,97.00,-102.00,-1.052
1412,SELL,1.11112,1.11196,84.00,-88.00,-1.048
1413,SELL,1.11195,1.11295,100.00,111.00,1.110
1414,BUY,1.11083,1.10984,99.00,-102.00,-1.030
1415,BUY,1.10954,1.10857,97.00,104.00,1.072
1416,BUY,1.11015,1.10916,99.00,-107.00,-1.081
1417,BUY,1.10917,1.10819,98.00,-98.00,-1.000
1418,BUY,1.10823,1.10723,100.00,100.00,1.000
1419,SELL,1.11005,1.11102,97.00,-97.00,-1.000
1420,BUY,1.11108,1.11008,100.00,100.00,1.000
1421,BUY,1.11077,1.10978,99.00,-108.00,-1.091
1422,BUY,1.10971,1.10904,67.00,-72.00,-1.075
1423,SELL,1.11382,1.11479,97.00,103.00,1.062
1424,BUY,1.11277,1.11179,98.00,-99.00,-1.010
1425,BUY,1.11157,1.11059,98.00,-106.00,-1.082
1426,BUY,1.11019,1.10922,97.00,-97.00,-1.000
1427,BUY,1.10926,1.10826,100.00,-100.00,-1.000
1428,BUY,1.10834,1.10734,100.00,-103.00,-1.030
1429,BUY,1.10680,1.10583,97.00,103.00,1.062
1430,SELL,1.10785,1.10883,98.00,-98.00,-1.000
1431,SELL,1.10881,1.10980,99.00,-101.00,-1.020
1432,SELL,1.10976,1.11076,100.00,-101.00,-1.010
1433,SELL,1.11126,1.11222,96.00,104.00,1.083
1434,BUY,1.11020,1.10922,98.00,103.00,1.051
1435,SELL,1.11125,1.11223,98.00,-114.00,-1.163
1436,BUY,1.10974,1.10876,98.00,-98.00,-1.000
1437,SELL,1.10953,1.11053,100.00,-102.00,-1.020
1438,SELL,1.11050,1.11150,100.00,102.00,1.020
1439,BUY,1.10945,1.10848,97.00,-100.00,-1.031
1440,BUY,1.10849,1.10749,100.00,-100.00,-1.000
1441,BUY,1.10737,1.10637,100.00,101.00,1.010
1442,SELL,1.10864,1.10964,100.00,99.00,0.990
1443,BUY,1.10648,1.10548,100.00,-102.00,-1.020
1444,SELL,1.10573,1.10669,96.00,104.00,1.083
1445,SELL,1.10472,1.10571,99.00,102.00,1.030
1446,BUY,1.10363,1.10265,98.00,104.00,1.061
1447,SELL,1.10495,1.10594,99.00,102.00,1.030
1448,BUY,1.10284,1.10185,99.00,-99.00,-1.000
1449,BUY,1.10187,1.10091,96.00,104.30,1.086
1450,SELL,1.10327,1.10427,100.00,-102.00,-1.020
1451,BUY,1.10370,1.10270,100.00,100.00,1.000
1452,BUY,1.10427,1.10327,100.00,-111.00,-1.110
1453,BUY,1.10276,1.10181,95.00,-97.00,-1.021
1454,BUY,1.10180,1.10082,98.00,-98.00,-1.000
1455,BUY,1.10078,1.09978,100.00,100.00,1.000
