id,dir,entry,stop,risk,pl,R
717,BUY,1.09595,1.09495,41.00,-42.23,-1.030
718,BUY,1.09566,1.09466,38.00,38.38,1.010
719,BUY,1.09663,1.09563,41.00,41.41,1.010
720,BUY,1.09761,1.09661,44.00,-44.00,-1.000
721,SELL,1.09661,1.09761,41.00,41.41,1.010
722,SELL,1.09559,1.09659,44.00,-44.00,-1.000
723,BUY,1.09659,1.09559,40.00,-40.00,-1.000
724,SELL,1.09559,1.09659,37.00,37.37,1.010
725,SELL,1.09457,1.09557,40.00,-40.40,-1.010
726,BUY,1.09590,1.09490,37.00,-37.37,-1.010
727,SELL,1.09484,1.09584,34.00,-34.34,-1.010
728,BUY,1.09595,1.09495,31.00,-31.00,-1.000
729,SELL,1.09492,1.09592,28.00,28.00,1.000
730,SELL,1.09378,1.09478,30.00,-30.60,-1.020
731,BUY,1.09479,1.09379,28.00,-28.00,-1.000
732,SELL,1.09377,1.09477,25.00,25.00,1.000
733,SELL,1.09265,1.09365,27.00,27.27,1.010
734,BUY,1.09210,1.09110,30.00,29.79,0.993
735,SELL,1.09349,1.09449,32.00,32.00,1.000
736,SELL,1.09231,1.09331,35.00,-35.00,-1.000
737,SELL,1.09271,1.09371,32.00,38.72,1.210
738,SELL,1.09143,1.09243,36.00,37.08,1.030
739,SELL,1.09315,1.09415,39.00,-39.78,-1.020
740,BUY,1.09417,1.09317,35.00,-35.00,-1.000
741,SELL,1.09317,1.09417,32.00,32.00,1.000
742,SELL,1.09201,1.09301,35.00,35.00,1.000
743,SELL,1.09101,1.09201,38.00,-38.76,-1.020
744,SELL,1.09255,1.09355,35.00,-35.00,-1.000
745,BUY,1.09391,1.09291,32.00,32.00,1.000
746,BUY,1.09542,1.09442,34.00,-38.42,-1.130
747,SELL,1.09429,1.09529,31.00,-39.99,-1.290
748,BUY,1.09568,1.09468,28.00,-28.00,-1.000
749,BUY,1.09521,1.09421,25.00,-25.00,-1.000
750,SELL,1.09384,1.09484,23.00,24.84,1.080
751,SELL,1.09269,1.09369,25.00,-25.25,-1.010
752,BUY,1.09370,1.09270,23.00,-23.00,-1.000
753,SELL,1.09265,1.09365,21.00,21.00,1.000
754,SELL,1.09162,1.09262,23.00,23.23,1.010
755,SELL,1.09059,1.09159,25.00,25.00,1.000
756,SELL,1.08930,1.09030,27.00,27.00,1.000
757,BUY,1.08852,1.08752,29.00,-29.20,-1.007
758,BUY,1.08849,1.08749,27.00,27.00,1.000
759,BUY,1.08975,1.08875,29.00,-29.58,-1.020
760,BUY,1.08945,1.08845,27.00,-27.81,-1.030
761,SELL,1.08868,1.08968,24.00,-24.24,-1.010
762,SELL,1.08928,1.09028,22.00,-22.00,-1.000
763,SELL,1.09004,1.09104,20.00,20.20,1.010
764,SELL,1.08889,1.08989,22.00,22.22,1.010
765,SELL,1.08770,1.08870,24.00,24.00,1.000
766,SELL,1.08680,1.08780,26.00,-28.08,-1.080
767,BUY,1.08733,1.08633,24.00,-24.48,-1.020
768,SELL,1.08643,1.08743,21.00,21.42,1.020
769,SELL,1.08541,1.08641,23.00,23.00,1.000
770,SELL,1.08433,1.08533,25.00,-25.75,-1.030
771,SELL,1.08509,1.08609,23.00,-23.00,-1.000
772,BUY,1.08629,1.08529,21.00,-21.78,-1.037
773,SELL,1.08526,1.08626,19.00,19.57,1.030
774,SELL,1.08423,1.08523,21.00,-21.00,-1.000
775,BUY,1.08673,1.08573,19.00,19.00,1.000
776,BUY,1.08816,1.08716,21.00,21.63,1.030
777,BUY,1.08902,1.08802,23.00,-23.00,-1.000
778,SELL,1.08802,1.08902,21.00,21.21,1.010
779,SELL,1.08700,1.08800,22.00,-22.00,-1.000
780,BUY,1.08800,1.08700,20.00,-21.20,-1.060
781,SELL,1.08694,1.08794,19.00,-20.33,-1.070
782,BUY,1.08801,1.08701,17.00,17.17,1.010
783,BUY,1.08911,1.08811,18.00,18.36,1.020
784,BUY,1.09016,1.08916,20.00,20.60,1.030
785,BUY,1.09119,1.09019,22.00,-22.00,-1.000
786,SELL,1.09019,1.09119,20.00,-20.20,-1.010
787,BUY,1.09125,1.09025,18.00,18.00,1.000
788,SELL,1.09167,1.09267,20.00,-24.80,-1.240
789,BUY,1.09287,1.09187,17.00,17.00,1.000
790,SELL,1.09332,1.09432,19.00,19.19,1.010
791,SELL,1.09231,1.09331,21.00,28.14,1.340
792,BUY,1.09172,1.09072,23.00,-25.76,-1.120
793,SELL,1.09060,1.09160,21.00,21.00,1.000
794,SELL,1.08958,1.09058,23.00,-23.23,-1.010
795,BUY,1.09064,1.08964,21.00,21.00,1.000
796,BUY,1.09166,1.09066,22.00,-22.00,-1.000
797,SELL,1.09067,1.09167,21.00,-21.00,-1.000
798,BUY,1.09167,1.09067,19.00,-19.38,-1.020
799,SELL,1.09065,1.09165,17.00,17.17,1.010
800,SELL,1.08961,1.09061,19.00,19.38,1.020
801,SELL,1.08857,1.08957,20.00,20.00,1.000
802,BUY,1.08808,1.08708,22.00,-22.00,-1.000
803,BUY,1.08765,1.08665,20.00,-20.00,-1.000
804,SELL,1.08639,1.08739,18.00,17.82,0.990
805,SELL,1.08537,1.08637,20.00,20.20,1.010
806,BUY,1.08398,1.08298,22.00,-22.00,-1.000
807,SELL,1.08279,1.08379,20.00,20.00,1.000
808,SELL,1.08158,1.08258,22.00,-22.00,-1.000
809,SELL,1.08255,1.08355,20.00,20.00,1.000
810,BUY,1.08193,1.08093,21.00,-21.00,-1.000
811,SELL,1.08092,1.08192,20.00,-20.20,-1.010
812,BUY,1.08192,1.08092,18.00,-18.18,-1.010
813,SELL,1.08091,1.08191,16.00,-16.00,-1.000
814,BUY,1.08195,1.08095,15.00,15.00,1.000
815,BUY,1.08356,1.08256,16.00,15.89,0.993
816,SELL,1.08459,1.08559,17.00,-17.00,-1.000
817,BUY,1.08577,1.08477,16.00,-16.00,-1.000
818,SELL,1.08474,1.08574,15.00,15.15,1.010
819,BUY,1.08421,1.08321,16.00,-16.00,-1.000
820,SELL,1.08316,1.08416,14.00,13.86,0.990
821,BUY,1.08327,1.08227,16.00,-16.32,-1.020
822,SELL,1.08225,1.08325,14.00,-14.00,-1.000
823,BUY,1.08325,1.08225,13.00,-13.00,-1.000
824,SELL,1.08225,1.08325,12.00,12.36,1.030
825,SELL,1.08119,1.08219,13.00,-13.00,-1.000
826,BUY,1.08234,1.08134,12.00,-12.37,-1.031
827,BUY,1.08167,1.08067,11.00,-11.33,-1.030
828,SELL,1.08064,1.08164,10.00,10.20,1.020
829,SELL,1.07959,1.08059,11.00,11.00,1.000
830,SELL,1.07781,1.07881,12.00,-12.00,-1.000
831,BUY,1.07886,1.07786,11.00,11.00,1.000
832,BUY,1.08003,1.07903,12.00,12.00,1.000
833,BUY,1.08114,1.08014,13.00,-13.00,-1.000
834,SELL,1.08014,1.08114,11.00,11.00,1.000
835,SELL,1.07860,1.07960,12.00,-13.92,-1.160
836,BUY,1.07975,1.07875,11.00,-11.11,-1.010
837,SELL,1.07868,1.07968,10.00,10.00,1.000
838,BUY,1.07793,1.07693,11.00,-11.00,-1.000
839,SELL,1.07693,1.07793,10.00,-10.10,-1.010
840,BUY,1.07829,1.07729,9.00,9.09,1.010
841,BUY,1.07937,1.07837,10.00,10.00,1.000
842,BUY,1.08044,1.07944,11.00,-11.33,-1.030
843,SELL,1.07941,1.08041,10.00,10.00,1.000
844,BUY,1.07909,1.07809,11.00,-11.22,-1.020
845,BUY,1.07851,1.07751,10.00,-10.00,-1.000
846,SELL,1.07732,1.07832,9.00,9.45,1.050
847,SELL,1.07620,1.07720,10.00,10.10,1.010
848,SELL,1.07516,1.07616,11.00,11.11,1.010
849,BUY,1.07435,1.07335,12.00,-12.24,-1.020
850,SELL,1.07323,1.07423,11.00,-11.22,-1.020
851,BUY,1.07408,1.07308,10.00,-10.17,-1.017
852,BUY,1.07349,1.07249,9.00,-9.00,-1.000
