id,dir,entry,stop,risk,pl,R
1331,SELL,1.08860,1.08960,100.00,-100.00,-1.000
1332,BUY,1.09044,1.08944,100.00,100.00,1.000
1333,BUY,1.09129,1.09029,100.00,-101.00,-1.010
1334,BUY,1.08896,1.08796,100.00,-100.00,-1.000
1335,BUY,1.08798,1.08698,100.00,-101.00,-1.010
1336,BUY,1.08697,1.08597,100.00,100.00,1.000
1337,BUY,1.08739,1.08639,100.00,-101.00,-1.010
1338,BUY,1.08635,1.08535,100.00,105.00,1.050
1339,SELL,1.08740,1.08840,100.00,105.00,1.050
1340,BUY,1.08635,1.08535,100.00,101.00,1.010
1341,SELL,1.08780,1.08880,100.00,99.00,0.990
1342,BUY,1.08680,1.08580,100.00,101.00,1.010
1343,SELL,1.08787,1.08887,100.00,-100.00,-1.000
1344,SELL,1.08897,1.08997,100.00,168.00,1.680
1345,BUY,1.08688,1.08588,100.00,112.00,1.120
1346,SELL,1.08762,1.08862,100.00,101.00,1.010
1347,BUY,1.08661,1.08561,100.00,100.00,1.000
1348,SELL,1.08761,1.08861,100.00,100.00,1.000
1349,BUY,1.08648,1.08548,100.00,-101.00,-1.010
1350,BUY,1.08547,1.08447,100.00,103.00,1.030
1351,SELL,1.08641,1.08741,100.00,-100.00,-1.000
1352,SELL,1.08763,1.08863,100.00,-103.00,-1.030
1353,SELL,1.08875,1.08975,100.00,100.00,1.000
1354,SELL,1.08839,1.08939,100.00,101.00,1.010
1355,BUY,1.08734,1.08634,100.00,-101.00,-1.010
1356,BUY,1.08626,1.08526,100.00,109.00,1.090
1357,SELL,1.08735,1.08835,100.00,-100.00,-1.000
1358,SELL,1.08757,1.08857,100.00,-105.00,-1.050
1359,SELL,1.08874,1.08974,100.00,-107.00,-1.070
1360,SELL,1.08981,1.09081,100.00,100.00,1.000
1361,BUY,1.08881,1.08781,100.00,-102.00,-1.020
1362,BUY,1.08781,1.08681,100.00,102.00,1.020
1363,SELL,1.08883,1.08983,100.00,101.00,1.010
1364,BUY,1.08782,1.08682,100.00,100.00,1.000
1365,BUY,1.08868,1.08768,100.00,99.30,0.993
1366,SELL,1.08940,1.09040,100.00,101.00,1.010
1367,SELL,1.08919,1.09019,100.00,-100.00,-1.000
1368,BUY,1.08942,1.08842,100.00,-253.00,-2.530
1369,BUY,1.08696,1.08596,100.00,-118.00,-1.180
1370,BUY,1.08395,1.08295,100.00,-109.00,-1.090
1371,BUY,1.08289,1.08189,100.00,103.00,1.030
1372,SELL,1.08392,1.08492,100.00,101.00,1.010
1373,BUY,1.08291,1.08191,100.00,-100.00,-1.000
1374,BUY,1.08155,1.08055,100.00,100.00,1.000
1375,BUY,1.08178,1.08078,100.00,-100.00,-1.000
1376,BUY,1.08078,1.07978,100.00,-338.70,-3.387
1377,SELL,1.07777,1.07877,100.00,104.00,1.040
1378,BUY,1.07673,1.07573,100.00,101.00,1.010
1379,SELL,1.07767,1.07867,100.00,101.00,1.010
1380,SELL,1.07701,1.07801,100.00,-102.00,-1.020
1381,BUY,1.07754,1.07654,100.00,-101.00,-1.010
1382,BUY,1.07618,1.07518,100.00,-100.00,-1.000
1383,BUY,1.07519,1.07419,100.00,100.00,1.000
1384,SELL,1.07619,1.07719,100.00,101.00,1.010
1385,BUY,1.07518,1.07418,100.00,-101.00,-1.010
1386,BUY,1.07381,1.07281,100.00,100.00,1.000
1387,SELL,1.07481,1.07581,100.00,-102.00,-1.020
1388,SELL,1.07603,1.07703,100.00,101.00,1.010
1389,BUY,1.07456,1.07356,100.00,-100.00,-1.000
1390,BUY,1.07356,1.07256,100.00,100.00,1.000
1391,SELL,1.07531,1.07631,100.00,-101.00,-1.010
