time,event,a,b,c,d,e
2026.07.06 19:15:00,ENTRY_ACCEPTED,P2_EURUSD_1783365000,id=18,1.14264,lot=5.13,riskP=97.54/A=97.47
2026.07.06 19:18:10,EXIT,id=18,STOP,-97.47,R=-1.000,
2026.07.06 19:25:00,ENTRY_ATTEMPT,P2_EURUSD_1783365600,SELL,3.76,1.14291,1.14303
2026.07.06 19:25:00,ENTRY_ACCEPTED,P2_EURUSD_1783365600,id=19,1.14291,lot=3.76,riskP=96.56/A=45.12
2026.07.06 19:29:52,EXIT,id=19,STOP,-45.12,R=-1.000,
2026.07.06 20:30:00,ENTRY_ATTEMPT,P2_EURUSD_1783369500,SELL,4.03,1.14359,1.14373
2026.07.06 20:30:00,ENTRY_ACCEPTED,P2_EURUSD_1783369500,id=20,1.14359,lot=4.03,riskP=96.11/A=56.42
2026.07.06 20:31:52,EXIT,id=20,STOP,-56.42,R=-1.000,
2026.07.06 20:50:00,ENTRY_ATTEMPT,P2_EURUSD_1783370700,SELL,4.54,1.14381,1.14402
2026.07.06 20:50:00,ENTRY_ACCEPTED,P2_EURUSD_1783370700,id=21,1.14381,lot=4.54,riskP=95.55/A=95.34
2026.07.06 21:33:08,EXIT,id=21,STOP,-95.34,R=-1.000,
2026.07.06 21:45:00,ENTRY_ATTEMPT,P2_EURUSD_1783374000,SELL,3.71,1.14422,1.14434
2026.07.06 21:45:00,ENTRY_ACCEPTED,P2_EURUSD_1783374000,id=22,1.14422,lot=3.71,riskP=94.59/A=44.52
2026.07.06 21:46:58,EXIT,id=22,STOP,-44.52,R=-1.000,
2026.07.07 01:05:00,ENTRY_ATTEMPT,P2_EURUSD_1783386000,SELL,2.54,1.14429,1.14466
2026.07.07 01:05:00,ENTRY_ACCEPTED,P2_EURUSD_1783386000,id=23,1.14429,lot=2.54,riskP=94.15/A=93.98
2026.07.07 02:01:09,EXIT,id=23,STOP,-93.98,R=-1.000,
2026.07.07 02:10:00,ENTRY_ATTEMPT,P2_EURUSD_1783389900,SELL,3.32,1.14460,1.14488
2026.07.07 02:10:00,ENTRY_ACCEPTED,P2_EURUSD_1783389900,id=24,1.14460,lot=3.32,riskP=93.21/A=92.96
2026.07.07 03:11:43,EXIT,id=24,TARGET,185.92,R=2.000,
2026.07.07 03:35:00,ENTRY_ATTEMPT,P1_EURUSD_1783395000,BUY,4.52,1.14397,1.14376
2026.07.07 03:35:00,ENTRY_ACCEPTED,P1_EURUSD_1783395000,id=25,1.14397,lot=4.52,riskP=95.07/A=94.92
2026.07.07 03:41:52,EXIT,id=25,STOP,-113.00,R=-1.190,
2026.07.07 05:35:00,ENTRY_ATTEMPT,P1_EURUSD_1783402200,BUY,3.70,1.14422,1.14410
2026.07.07 05:35:00,ENTRY_ACCEPTED,P1_EURUSD_1783402200,id=26,1.14422,lot=3.70,riskP=93.94/A=44.40
