READINESS,connected_and_synced,YES,waited_ms=2010,terminal_connected=1,bars_m1=100000,synced=1,
section,key,v1,v2,v3,v4,v5,v6
ENV,build,6096,,,,,
ENV,company,MetaQuotes Ltd.,,,,,
ENV,server,MetaQuotes-Demo,10012089985,DEMO,,,
PENETRATION,RECENT_B,1.15418,bidUp=1786034335710,askUp=1786034335710,bidDn=1786033800030,askDn=1786033800030,same
PENETRATION,RECENT_B,1.15424,bidUp=1786034427445,askUp=1786034427445,bidDn=1786033800030,askDn=1786033800030,same
PENETRATION,RECENT_B,1.15431,bidUp=1786034435301,askUp=1786034435301,bidDn=1786033800030,askDn=1786033800030,same
PENETRATION,RECENT_B,1.15438,bidUp=1786034448582,askUp=1786034448582,bidDn=1786033800030,askDn=1786033800030,same
PENETRATION,RECENT_B,1.15444,bidUp=1786035411667,askUp=1786035411027,bidDn=1786033800030,askDn=1786033800030,DIVERGENT
PENETRATION,RECENT_B,1.15451,bidUp=1786035450375,askUp=1786035450375,bidDn=1786033800030,askDn=1786033800030,same
PENETRATION,RECENT_B_SUMMARY,4,21,19.0,pct_levels_where_bid_and_ask_rules_differ,,
WINDOW,MONTH_A,2026.07.09 10:00:00,2026.07.09 11:00:00,15382,0,ny_off=-4,srv_utc=3
METRICS,MONTH_A_flagcounts,15382,11672,11956,0,8246,0
METRICS,MONTH_A_onlyflags,3426,3710,only_bid / only_ask,,,
METRICS,MONTH_A_valuecounts,15382,15382,0,values present (not necessarily updated),,
METRICS,MONTH_A_spread,0.00000,0.00026,0.00000,100.00,pct_ticks_with_spread,
PENETRATION,MONTH_A,1.14317,bidUp=1783591200023,askUp=1783591200023,bidDn=1783594579914,askDn=-1,DIVERGENT
PENETRATION,MONTH_A,1.14322,bidUp=1783591200023,askUp=1783591200023,bidDn=1783594282925,askDn=-1,DIVERGENT
PENETRATION,MONTH_A,1.14328,bidUp=1783591200023,askUp=1783591200023,bidDn=1783593992059,askDn=1783594017741,DIVERGENT
PENETRATION,MONTH_A,1.14333,bidUp=1783591200023,askUp=1783591200023,bidDn=1783593972937,askDn=1783593972937,same
PENETRATION,MONTH_A,1.14338,bidUp=1783591200023,askUp=1783591200023,bidDn=1783593972386,askDn=1783593972386,same
PENETRATION,MONTH_A,1.14344,bidUp=1783591200023,askUp=1783591200023,bidDn=1783593954826,askDn=1783593954826,same
PENETRATION,MONTH_A,1.14349,bidUp=1783591200023,askUp=1783591200023,bidDn=1783592276531,askDn=1783593744754,DIVERGENT
PENETRATION,MONTH_A,1.14354,bidUp=1783591200023,askUp=1783591200023,bidDn=1783591611397,askDn=1783591611397,same
PENETRATION,MONTH_A,1.14360,bidUp=1783591200023,askUp=1783591200023,bidDn=1783591607285,askDn=1783591607285,same
PENETRATION,MONTH_A,1.14365,bidUp=1783591200023,askUp=1783591200023,bidDn=1783591544323,askDn=1783591598075,DIVERGENT
PENETRATION,MONTH_A,1.14370,bidUp=1783591200023,askUp=1783591200023,bidDn=1783591544051,askDn=1783591585347,DIVERGENT
PENETRATION,MONTH_A,1.14376,bidUp=1783591200023,askUp=1783591200023,bidDn=1783591544051,askDn=1783591553712,DIVERGENT
PENETRATION,MONTH_A,1.14381,bidUp=1783591200023,askUp=1783591200023,bidDn=1783591507751,askDn=1783591507751,same
PENETRATION,MONTH_A,1.14387,bidUp=1783591200023,askUp=1783591200023,bidDn=1783591466944,askDn=1783591466944,same
PENETRATION,MONTH_A,1.14392,bidUp=1783591200023,askUp=1783591200023,bidDn=1783591445345,askDn=1783591445345,same
PENETRATION,MONTH_A,1.14397,bidUp=1783591200023,askUp=1783591200023,bidDn=1783591321363,askDn=1783591322099,DIVERGENT
PENETRATION,MONTH_A,1.14403,bidUp=1783591200023,askUp=1783591200023,bidDn=1783591277673,askDn=1783591280266,DIVERGENT
PENETRATION,MONTH_A,1.14408,bidUp=1783591200023,askUp=1783591200023,bidDn=1783591277363,askDn=1783591277418,DIVERGENT
PENETRATION,MONTH_A,1.14413,bidUp=1783591200023,askUp=1783591200023,bidDn=1783591252089,askDn=1783591252702,DIVERGENT
PENETRATION,MONTH_A,1.14419,bidUp=1783591200023,askUp=1783591200023,bidDn=1783591201018,askDn=1783591201018,same
PENETRATION,MONTH_A,1.14424,bidUp=1783591225054,askUp=1783591225054,bidDn=1783591200023,askDn=1783591200023,same
PENETRATION,MONTH_A_SUMMARY,11,21,52.4,pct_levels_where_bid_and_ask_rules_differ,,
WINDOW,MONTH_B,2026.07.09 16:30:00,2026.07.09 17:50:00,30553,0,ny_off=-4,srv_utc=3
METRICS,MONTH_B_flagcounts,30553,23188,23060,0,15695,0
METRICS,MONTH_B_onlyflags,7493,7365,only_bid / only_ask,,,
METRICS,MONTH_B_valuecounts,30553,30553,0,values present (not necessarily updated),,
METRICS,MONTH_B_spread,0.00000,0.00017,0.00000,100.00,pct_ticks_with_spread,
PENETRATION,MONTH_B,1.14315,bidUp=1783614600040,askUp=1783614600040,bidDn=1783614822409,askDn=1783614822409,same
PENETRATION,MONTH_B,1.14322,bidUp=1783614600040,askUp=1783614600040,bidDn=1783614710461,askDn=1783614711675,DIVERGENT
PENETRATION,MONTH_B,1.14330,bidUp=1783614600040,askUp=1783614600040,bidDn=1783614695340,askDn=1783614695810,DIVERGENT
