READINESS,connected_and_synced,YES,waited_ms=2010,terminal_connected=1,bars_m1=100000,synced=1,
section,key,v1,v2,v3,v4,v5,v6
ENV,build,6096,,,,,
ENV,company,MetaQuotes Ltd.,,,,,
ENV,server,MetaQuotes-Demo,10012089985,DEMO,,,
PENETRATION,WINTER_B,1.16028,bidUp=1768494600059,askUp=1768494600059,bidDn=1768494787978,askDn=1768494790380,DIVERGENT
PENETRATION,WINTER_B,1.16036,bidUp=1768494600059,askUp=1768494600059,bidDn=1768494754034,askDn=1768494769003,DIVERGENT
PENETRATION,WINTER_B,1.16044,bidUp=1768494600059,askUp=1768494600059,bidDn=1768494743379,askDn=1768494750898,DIVERGENT
PENETRATION,WINTER_B,1.16053,bidUp=1768494600059,askUp=1768494600059,bidDn=1768494738776,askDn=1768494740828,DIVERGENT
PENETRATION,WINTER_B,1.16061,bidUp=1768494600059,askUp=1768494600059,bidDn=1768494700825,askDn=1768494700882,DIVERGENT
PENETRATION,WINTER_B,1.16069,bidUp=1768494604562,askUp=1768494601405,bidDn=1768494600059,askDn=1768494600059,DIVERGENT
PENETRATION,WINTER_B,1.16078,bidUp=1768494651638,askUp=1768494611118,bidDn=1768494600059,askDn=1768494600059,DIVERGENT
PENETRATION,WINTER_B,1.16086,bidUp=1768499262558,askUp=1768494657166,bidDn=1768494600059,askDn=1768494600059,DIVERGENT
PENETRATION,WINTER_B,1.16094,bidUp=1768499310462,askUp=1768499309883,bidDn=1768494600059,askDn=1768494600059,DIVERGENT
PENETRATION,WINTER_B_SUMMARY,20,21,95.2,pct_levels_where_bid_and_ask_rules_differ,,
WINDOW,SUMMER_A,2026.07.15 10:00:00,2026.07.15 11:00:00,18431,0,ny_off=-4,srv_utc=3
METRICS,SUMMER_A_flagcounts,18431,14204,14954,0,10727,0
METRICS,SUMMER_A_onlyflags,3477,4227,only_bid / only_ask,,,
METRICS,SUMMER_A_valuecounts,18431,18431,0,values present (not necessarily updated),,
METRICS,SUMMER_A_spread,0.00000,0.00002,0.00000,100.00,pct_ticks_with_spread,
PENETRATION,SUMMER_A,1.14198,bidUp=1784109600006,askUp=1784109600006,bidDn=1784111232351,askDn=1784111232445,DIVERGENT
PENETRATION,SUMMER_A,1.14204,bidUp=1784109600006,askUp=1784109600006,bidDn=1784111224928,askDn=1784111224928,same
PENETRATION,SUMMER_A,1.14210,bidUp=1784109600006,askUp=1784109600006,bidDn=1784111219418,askDn=1784111219627,DIVERGENT
PENETRATION,SUMMER_A,1.14216,bidUp=1784109600006,askUp=1784109600006,bidDn=1784111193449,askDn=1784111193449,same
PENETRATION,SUMMER_A,1.14223,bidUp=1784109600006,askUp=1784109600006,bidDn=1784111163724,askDn=1784111163735,DIVERGENT
PENETRATION,SUMMER_A,1.14229,bidUp=1784109600006,askUp=1784109600006,bidDn=1784111140181,askDn=1784111140181,same
PENETRATION,SUMMER_A,1.14235,bidUp=1784109600006,askUp=1784109600006,bidDn=1784111001932,askDn=1784111001932,same
PENETRATION,SUMMER_A,1.14241,bidUp=1784109600006,askUp=1784109600006,bidDn=1784110914094,askDn=1784110914094,same
PENETRATION,SUMMER_A,1.14247,bidUp=1784109600006,askUp=1784109600006,bidDn=1784110718966,askDn=1784110718966,same
PENETRATION,SUMMER_A,1.14253,bidUp=1784109600006,askUp=1784109600006,bidDn=1784110716125,askDn=1784110716125,same
PENETRATION,SUMMER_A,1.14260,bidUp=1784109600006,askUp=1784109600006,bidDn=1784110692602,askDn=1784110692602,same
PENETRATION,SUMMER_A,1.14266,bidUp=1784109600006,askUp=1784109600006,bidDn=1784109926732,askDn=1784109926732,same
PENETRATION,SUMMER_A,1.14272,bidUp=1784109600006,askUp=1784109600006,bidDn=1784109914612,askDn=1784109914612,same
PENETRATION,SUMMER_A,1.14278,bidUp=1784109600006,askUp=1784109600006,bidDn=1784109885626,askDn=1784109885626,same
PENETRATION,SUMMER_A,1.14284,bidUp=1784109600006,askUp=1784109600006,bidDn=1784109876814,askDn=1784109876922,DIVERGENT
PENETRATION,SUMMER_A,1.14290,bidUp=1784109600191,askUp=1784109600191,bidDn=1784109600006,askDn=1784109600006,same
PENETRATION,SUMMER_A,1.14296,bidUp=1784109600635,askUp=1784109600635,bidDn=1784109600006,askDn=1784109600006,same
PENETRATION,SUMMER_A,1.14303,bidUp=1784109644641,askUp=1784109635886,bidDn=1784109600006,askDn=1784109600006,DIVERGENT
PENETRATION,SUMMER_A,1.14309,bidUp=1784109644905,askUp=1784109644863,bidDn=1784109600006,askDn=1784109600006,DIVERGENT
PENETRATION,SUMMER_A,1.14315,bidUp=1784110374786,askUp=1784110374700,bidDn=1784109600006,askDn=1784109600006,DIVERGENT
PENETRATION,SUMMER_A,1.14321,bidUp=1784110383992,askUp=1784110383992,bidDn=1784109600006,askDn=1784109600006,same
PENETRATION,SUMMER_A_SUMMARY,7,21,33.3,pct_levels_where_bid_and_ask_rules_differ,,
WINDOW,SUMMER_B,2026.07.15 16:30:00,2026.07.15 17:50:00,33831,0,ny_off=-4,srv_utc=3
METRICS,SUMMER_B_flagcounts,33831,26455,26472,0,19096,0
METRICS,SUMMER_B_onlyflags,7359,7376,only_bid / only_ask,,,
METRICS,SUMMER_B_valuecounts,33831,33831,0,values present (not necessarily updated),,
METRICS,SUMMER_B_spread,0.00000,0.00002,0.00000,100.00,pct_ticks_with_spread,
PENETRATION,SUMMER_B,1.14239,bidUp=1784133000005,askUp=1784133000005,bidDn=1784133008967,askDn=1784133008967,same
PENETRATION,SUMMER_B,1.14248,bidUp=1784133024017,askUp=1784133024017,bidDn=1784133000005,askDn=1784133000005,same
PENETRATION,SUMMER_B,1.14257,bidUp=1784133077634,askUp=1784133077634,bidDn=1784133000005,askDn=1784133000005,same
PENETRATION,SUMMER_B,1.14265,bidUp=1784133100176,askUp=1784133100027,bidDn=1784133000005,askDn=1784133000005,DIVERGENT
PENETRATION,SUMMER_B,1.14274,bidUp=1784133145817,askUp=1784133145781,bidDn=1784133000005,askDn=1784133000005,DIVERGENT
PENETRATION,SUMMER_B,1.14283,bidUp=1784134017189,askUp=1784134017189,bidDn=1784133000005,askDn=1784133000005,same
PENETRATION,SUMMER_B,1.14292,bidUp=1784134163423,askUp=1784134163423,bidDn=1784133000005,askDn=1784133000005,same
PENETRATION,SUMMER_B,1.14301,bidUp=1784134172717,askUp=1784134172717,bidDn=1784133000005,askDn=1784133000005,same
PENETRATION,SUMMER_B,1.14309,bidUp=1784134335163,askUp=1784134335163,bidDn=1784133000005,askDn=1784133000005,same
PENETRATION,SUMMER_B,1.14318,bidUp=1784134644676,askUp=1784134644676,bidDn=1784133000005,askDn=1784133000005,same
PENETRATION,SUMMER_B,1.14327,bidUp=1784134658301,askUp=1784134658301,bidDn=1784133000005,askDn=1784133000005,same
PENETRATION,SUMMER_B,1.14336,bidUp=1784134661247,askUp=1784134661247,bidDn=1784133000005,askDn=1784133000005,same
PENETRATION,SUMMER_B,1.14345,bidUp=1784134665840,askUp=1784134665840,bidDn=1784133000005,askDn=1784133000005,same
PENETRATION,SUMMER_B,1.14353,bidUp=1784134666263,askUp=1784134666225,bidDn=1784133000005,askDn=1784133000005,DIVERGENT
PENETRATION,SUMMER_B,1.14362,bidUp=1784136846518,askUp=1784136846518,bidDn=1784133000005,askDn=1784133000005,same
PENETRATION,SUMMER_B,1.14371,bidUp=1784137000933,askUp=1784137000921,bidDn=1784133000005,askDn=1784133000005,DIVERGENT
PENETRATION,SUMMER_B,1.14380,bidUp=1784137330830,askUp=1784137330830,bidDn=1784133000005,askDn=1784133000005,same
PENETRATION,SUMMER_B,1.14389,bidUp=1784137486769,askUp=1784137486769,bidDn=1784133000005,askDn=1784133000005,same
PENETRATION,SUMMER_B,1.14397,bidUp=1784137674438,askUp=1784137674369,bidDn=1784133000005,askDn=1784133000005,DIVERGENT
PENETRATION,SUMMER_B,1.14406,bidUp=1784137713747,askUp=1784137713710,bidDn=1784133000005,askDn=1784133000005,DIVERGENT
PENETRATION,SUMMER_B,1.14415,bidUp=1784137799771,askUp=1784137799771,bidDn=1784133000005,askDn=1784133000005,same
PENETRATION,SUMMER_B_SUMMARY,6,21,28.6,pct_levels_where_bid_and_ask_rules_differ,,
COVERAGE,probe_1y_ago,2025.08.08,72580,0,2025.08.08 01:59:16,,
COVERAGE,probe_2y_ago,2024.08.08,57485,0,2024.08.08 01:59:10,,
COVERAGE,probe_3y_ago,2023.08.09,50976,0,2023.08.09 01:59:10,,
COVERAGE,probe_4y_ago,2022.08.09,81651,0,2022.08.09 01:59:10,,
COVERAGE,probe_5y_ago,2021.08.09,62417,0,2021.08.09 01:59:10,,
COVERAGE,probe_6y_ago,2020.08.09,1635,0,2020.08.10 00:02:38,,
COVERAGE,probe_7y_ago,2019.08.10,0,0,DATA_NOT_AVAILABLE,,
COVERAGE,probe_8y_ago,2018.08.10,155438,0,2018.08.10 01:59:12,,
COVERAGE,probe_9y_ago,2017.08.10,106335,0,2017.08.10 01:59:13,,
COVERAGE,probe_10y_ago,2016.08.10,192596,0,2016.08.10 01:59:12,,
COVERAGE,probe_11y_ago,2015.08.11,246986,0,2015.08.11 01:59:13,,
COVERAGE,probe_12y_ago,2014.08.11,30774,0,2014.08.11 01:59:12,,
COVERAGE,probe_13y_ago,2013.08.11,1272,0,2013.08.12 00:00:05,,
COVERAGE,probe_14y_ago,2012.08.11,0,0,DATA_NOT_AVAILABLE,,
COVERAGE,probe_15y_ago,2011.08.12,0,0,DATA_NOT_AVAILABLE,,
COVERAGE,oldest_tick_found,2013.08.12 00:00:05,4744,days_back,,,
WINDOW,OLDEST_A,2013.08.13 10:00:00,2013.08.13 11:00:00,3147,0,ny_off=-4,srv_utc=3
METRICS,OLDEST_A_flagcounts,3147,2416,2459,0,1788,60
METRICS,OLDEST_A_onlyflags,628,671,only_bid / only_ask,,,
METRICS,OLDEST_A_valuecounts,3147,3147,0,values present (not necessarily updated),,
METRICS,OLDEST_A_spread,0.00001,0.00018,0.00004,100.00,pct_ticks_with_spread,
PENETRATION,OLDEST_A,1.32813,bidUp=1376388000000,askUp=1376388000000,bidDn=1376389502000,askDn=-1,DIVERGENT
PENETRATION,OLDEST_A,1.32822,bidUp=1376388000000,askUp=1376388000000,bidDn=1376388982000,askDn=1376388983000,DIVERGENT
PENETRATION,OLDEST_A,1.32831,bidUp=1376388000000,askUp=1376388000000,bidDn=1376388977000,askDn=1376388977000,same
PENETRATION,OLDEST_A,1.32839,bidUp=1376388000000,askUp=1376388000000,bidDn=1376388812000,askDn=1376388894000,DIVERGENT
PENETRATION,OLDEST_A,1.32848,bidUp=1376388000000,askUp=1376388000000,bidDn=1376388717000,askDn=1376388717000,same
PENETRATION,OLDEST_A,1.32857,bidUp=1376388000000,askUp=1376388000000,bidDn=1376388695000,askDn=1376388717000,DIVERGENT
PENETRATION,OLDEST_A,1.32865,bidUp=1376388000000,askUp=1376388000000,bidDn=1376388685000,askDn=1376388685000,same
PENETRATION,OLDEST_A,1.32874,bidUp=1376388000000,askUp=1376388000000,bidDn=1376388669000,askDn=1376388683000,DIVERGENT
PENETRATION,OLDEST_A,1.32883,bidUp=1376388000000,askUp=1376388000000,bidDn=1376388668000,askDn=1376388669000,DIVERGENT
PENETRATION,OLDEST_A,1.32892,bidUp=1376388000000,askUp=1376388000000,bidDn=1376388668000,askDn=1376388668000,same
PENETRATION,OLDEST_A,1.32901,bidUp=1376388000000,askUp=1376388000000,bidDn=1376388649000,askDn=1376388650000,DIVERGENT
PENETRATION,OLDEST_A,1.32909,bidUp=1376388000000,askUp=1376388000000,bidDn=1376388362000,askDn=1376388649000,DIVERGENT
PENETRATION,OLDEST_A,1.32918,bidUp=1376388000000,askUp=1376388000000,bidDn=1376388320000,askDn=1376388347000,DIVERGENT
PENETRATION,OLDEST_A,1.32927,bidUp=1376388000000,askUp=1376388000000,bidDn=1376388318000,askDn=1376388318000,same
PENETRATION,OLDEST_A,1.32936,bidUp=1376388028000,askUp=1376388018000,bidDn=1376388000000,askDn=1376388000000,DIVERGENT
PENETRATION,OLDEST_A,1.32944,bidUp=1376388037000,askUp=1376388032000,bidDn=1376388000000,askDn=1376388000000,DIVERGENT
PENETRATION,OLDEST_A,1.32953,bidUp=1376388070000,askUp=1376388037000,bidDn=1376388000000,askDn=1376388000000,DIVERGENT
PENETRATION,OLDEST_A,1.32962,bidUp=1376388089000,askUp=1376388071000,bidDn=1376388000000,askDn=1376388000000,DIVERGENT
PENETRATION,OLDEST_A,1.32970,bidUp=1376391206000,askUp=1376391206000,bidDn=1376388000000,askDn=1376388000000,same
PENETRATION,OLDEST_A,1.32979,bidUp=1376391354000,askUp=1376391326000,bidDn=1376388000000,askDn=1376388000000,DIVERGENT
PENETRATION,OLDEST_A,1.32988,bidUp=1376391357000,askUp=1376391357000,bidDn=1376388000000,askDn=1376388000000,same
PENETRATION,OLDEST_A_SUMMARY,14,21,66.7,pct_levels_where_bid_and_ask_rules_differ,,
WINDOW,OLDEST_B,2013.08.13 16:30:00,2013.08.13 17:50:00,4471,0,ny_off=-4,srv_utc=3
METRICS,OLDEST_B_flagcounts,4471,3362,3487,0,2490,112
METRICS,OLDEST_B_onlyflags,872,997,only_bid / only_ask,,,
METRICS,OLDEST_B_valuecounts,4471,4471,0,values present (not necessarily updated),,
METRICS,OLDEST_B_spread,0.00001,0.00007,0.00004,100.00,pct_ticks_with_spread,
PENETRATION,OLDEST_B,1.32335,bidUp=1376411400000,askUp=1376411400000,bidDn=1376413102000,askDn=-1,DIVERGENT
PENETRATION,OLDEST_B,1.32342,bidUp=1376411400000,askUp=1376411400000,bidDn=1376412440000,askDn=1376412446000,DIVERGENT
PENETRATION,OLDEST_B,1.32350,bidUp=1376411400000,askUp=1376411400000,bidDn=1376412440000,askDn=1376412440000,same
PENETRATION,OLDEST_B,1.32357,bidUp=1376411400000,askUp=1376411400000,bidDn=1376412345000,askDn=1376412440000,DIVERGENT
PENETRATION,OLDEST_B,1.32365,bidUp=1376411400000,askUp=1376411400000,bidDn=1376412345000,askDn=1376412345000,same
PENETRATION,OLDEST_B,1.32372,bidUp=1376411400000,askUp=1376411400000,bidDn=1376412250000,askDn=1376412343000,DIVERGENT
PENETRATION,OLDEST_B,1.32380,bidUp=1376411400000,askUp=1376411400000,bidDn=1376412101000,askDn=1376412101000,same
PENETRATION,OLDEST_B,1.32387,bidUp=1376411400000,askUp=1376411400000,bidDn=1376411763000,askDn=1376411772000,DIVERGENT
PENETRATION,OLDEST_B,1.32395,bidUp=1376411400000,askUp=1376411400000,bidDn=1376411639000,askDn=1376411762000,DIVERGENT
PENETRATION,OLDEST_B,1.32402,bidUp=1376411400000,askUp=1376411400000,bidDn=1376411639000,askDn=1376411639000,same
PENETRATION,OLDEST_B,1.32410,bidUp=1376411400000,askUp=1376411400000,bidDn=1376411636000,askDn=1376411636000,same
PENETRATION,OLDEST_B,1.32417,bidUp=1376411400000,askUp=1376411400000,bidDn=1376411597000,askDn=1376411635000,DIVERGENT
PENETRATION,OLDEST_B,1.32424,bidUp=1376411400000,askUp=1376411400000,bidDn=1376411581000,askDn=1376411596000,DIVERGENT
PENETRATION,OLDEST_B,1.32432,bidUp=1376411400000,askUp=1376411400000,bidDn=1376411562000,askDn=1376411562000,same
PENETRATION,OLDEST_B,1.32439,bidUp=1376411400000,askUp=1376411400000,bidDn=1376411466000,askDn=1376411560000,DIVERGENT
PENETRATION,OLDEST_B,1.32447,bidUp=1376411400000,askUp=1376411400000,bidDn=1376411456000,askDn=1376411461000,DIVERGENT
PENETRATION,OLDEST_B,1.32454,bidUp=1376411400000,askUp=1376411400000,bidDn=1376411410000,askDn=1376411456000,DIVERGENT
PENETRATION,OLDEST_B,1.32462,bidUp=1376411400000,askUp=1376411400000,bidDn=1376411408000,askDn=1376411408000,same
PENETRATION,OLDEST_B,1.32469,bidUp=1376411400000,askUp=1376411400000,bidDn=1376411408000,askDn=1376411408000,same
PENETRATION,OLDEST_B,1.32477,bidUp=1376411437000,askUp=1376411433000,bidDn=1376411400000,askDn=1376411400000,DIVERGENT
PENETRATION,OLDEST_B,1.32484,bidUp=1376411437000,askUp=1376411437000,bidDn=1376411400000,askDn=1376411400000,same
PENETRATION,OLDEST_B_SUMMARY,12,21,57.1,pct_levels_where_bid_and_ask_rules_differ,,
