seq,time,event,detail
54,2026.07.07 11:05:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
55,2026.07.07 11:10:00,ENTRY,id=6 entry=1.14289 c3close=1.14271 gap_pts=18.0 sl=1.14247 tp=1.14373 vol=2.26 risk=94.92 tv=SYMBOL_TRADE_TICK_VALUE
56,2026.07.07 12:00:00,PATTERN_DETECTED,ref=1.14303 l2=1.14274 c2=1.14280 c3=1.14280 t3=2026.07.07 11:55:00 rule=A_prime_K3_strict_left
57,2026.07.07 12:00:00,SKIPPED_POSITION_OPEN,max positions=1
58,2026.07.07 12:50:08,EXIT,id=6 reason=STOP exit=1.14247 pnl=-94.92 R=-1.000 bal=9407.57
59,2026.07.07 15:00:00,PATTERN_DETECTED,ref=1.14315 l2=1.14253 c2=1.14270 c3=1.14326 t3=2026.07.07 14:55:00 rule=A_prime_K3_strict_left
60,2026.07.07 15:00:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
61,2026.07.07 15:05:00,ENTRY,id=7 entry=1.14345 c3close=1.14326 gap_pts=19.0 sl=1.14252 tp=1.14531 vol=1.01 risk=93.93 tv=SYMBOL_TRADE_TICK_VALUE
62,2026.07.07 16:10:00,PATTERN_DETECTED,ref=1.14339 l2=1.14316 c2=1.14325 c3=1.14321 t3=2026.07.07 16:05:00 rule=A_prime_K3_strict_left
63,2026.07.07 16:10:00,SKIPPED_POSITION_OPEN,max positions=1
64,2026.07.07 17:09:00,EXIT,id=7 reason=STOP exit=1.14252 pnl=-93.93 R=-1.000 bal=9313.64
65,2026.07.07 17:15:00,PATTERN_DETECTED,ref=1.14276 l2=1.14249 c2=1.14256 c3=1.14267 t3=2026.07.07 17:10:00 rule=A_prime_K3_strict_left
66,2026.07.07 17:15:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
67,2026.07.07 17:20:00,ENTRY,id=8 entry=1.14296 c3close=1.14267 gap_pts=29.0 sl=1.14248 tp=1.14392 vol=1.94 risk=93.12 tv=SYMBOL_TRADE_TICK_VALUE
68,2026.07.07 18:25:00,PATTERN_DETECTED,ref=1.14280 l2=1.14253 c2=1.14270 c3=1.14272 t3=2026.07.07 18:20:00 rule=A_prime_K3_strict_left
69,2026.07.07 18:25:00,SKIPPED_POSITION_OPEN,max positions=1
70,2026.07.07 18:49:56,EXIT,id=8 reason=STOP exit=1.14248 pnl=-93.12 R=-1.000 bal=9220.52
71,2026.07.07 19:05:00,PATTERN_DETECTED,ref=1.14238 l2=1.14221 c2=1.14230 c3=1.14236 t3=2026.07.07 19:00:00 rule=A_prime_K3_strict_left
72,2026.07.07 19:05:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
73,2026.07.07 19:10:00,ENTRY,id=9 entry=1.14245 c3close=1.14236 gap_pts=9.0 sl=1.14220 tp=1.14295 vol=3.68 risk=92.00 tv=SYMBOL_TRADE_TICK_VALUE
74,2026.07.07 19:12:23,EXIT,id=9 reason=STOP exit=1.14220 pnl=-92.00 R=-1.000 bal=9128.52
75,2026.07.07 22:00:00,PATTERN_DETECTED,ref=1.14229 l2=1.14174 c2=1.14189 c3=1.14186 t3=2026.07.07 21:55:00 rule=A_prime_K3_strict_left
