seq,time,event,detail
120,2026.07.08 18:50:00,PATTERN_DETECTED,ref=1.13934 l2=1.13912 c2=1.13928 c3=1.13929 t3=2026.07.08 18:45:00 rule=A_prime_K3_strict_left
121,2026.07.08 18:50:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
122,2026.07.08 18:55:00,ENTRY,id=17 entry=1.13956 c3close=1.13929 gap_pts=27.0 sl=1.13911 tp=1.14046 vol=2.00 risk=90.00 tv=SYMBOL_TRADE_TICK_VALUE
123,2026.07.08 19:31:51,EXIT,id=17 reason=TARGET exit=1.14047 pnl=182.00 R=2.022 bal=9203.39
124,2026.07.08 21:05:00,PATTERN_DETECTED,ref=1.14200 l2=1.14177 c2=1.14191 c3=1.14215 t3=2026.07.08 21:00:00 rule=A_prime_K3_strict_left
125,2026.07.08 21:05:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
126,2026.07.08 21:10:00,ENTRY,id=18 entry=1.14240 c3close=1.14215 gap_pts=25.0 sl=1.14176 tp=1.14368 vol=1.43 risk=91.52 tv=SYMBOL_TRADE_TICK_VALUE
127,2026.07.08 22:55:00,PATTERN_DETECTED,ref=1.14268 l2=1.14226 c2=1.14235 c3=1.14267 t3=2026.07.08 22:50:00 rule=A_prime_K3_strict_left
128,2026.07.08 22:55:00,SKIPPED_POSITION_OPEN,max positions=1
129,2026.07.08 23:35:45,EXIT,id=18 reason=STOP exit=1.14176 pnl=-91.52 R=-1.000 bal=9111.87
130,2026.07.08 23:45:00,PATTERN_DETECTED,ref=1.14188 l2=1.14152 c2=1.14161 c3=1.14165 t3=2026.07.08 23:40:00 rule=A_prime_K3_strict_left
131,2026.07.08 23:45:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
132,2026.07.08 23:50:00,ORDER_FAILED,OrderSend=false retcode=10019 err=4756
133,2026.07.09 00:45:00,PATTERN_DETECTED,ref=1.14165 l2=1.14147 c2=1.14163 c3=1.14167 t3=2026.07.09 00:40:00 rule=A_prime_K3_strict_left
134,2026.07.09 00:45:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
135,2026.07.09 00:50:00,ENTRY,id=19 entry=1.14180 c3close=1.14167 gap_pts=13.0 sl=1.14146 tp=1.14248 vol=2.67 risk=90.78 tv=SYMBOL_TRADE_TICK_VALUE
136,2026.07.09 00:51:30,EXIT,id=19 reason=STOP exit=1.14146 pnl=-90.78 R=-1.000 bal=9021.09
137,2026.07.09 05:40:01,PATTERN_DETECTED,ref=1.14257 l2=1.14246 c2=1.14247 c3=1.14248 t3=2026.07.09 05:35:00 rule=A_prime_K3_strict_left
138,2026.07.09 05:40:01,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
139,2026.07.09 05:45:00,ORDER_FAILED,OrderSend=false retcode=10019 err=4756
140,2026.07.09 10:15:00,PATTERN_DETECTED,ref=1.14384 l2=1.14350 c2=1.14378 c3=1.14369 t3=2026.07.09 10:10:00 rule=A_prime_K3_strict_left
141,2026.07.09 10:15:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
142,2026.07.09 10:20:00,ENTRY,id=20 entry=1.14378 c3close=1.14369 gap_pts=9.0 sl=1.14349 tp=1.14436 vol=3.11 risk=90.19 tv=SYMBOL_TRADE_TICK_VALUE
